SR NO,DIVISION,SUB DIVISION,SS NAME,FEEDER,CAT,TND CODE,TOTAL CONSUMER,TOTAL TC, FULLY ON,PARTIALLY ON,FULLY OFF,,,,,
67,Lalbagh,Manjalpur,MAKARPURA-B,SHRIKUNJ,URBAN,143416,2385,38,FALSE,FALSE,FALSE,,,,,
68,Lalbagh,Manjalpur,66 KV Manjalpur SS,11 KV AMERAPALI FEEDER,URBAN,309001,1836,25,FALSE,FALSE,FALSE,,,,,
69,Lalbagh,Manjalpur,66 KV Manjalpur SS,11 KV SARASWATI,URBAN,309002,5889,29,FALSE,FALSE,FALSE,,,,,
70,Lalbagh,Manjalpur,66 KV Manjalpur SS,11 KV LAXMINARAYAN FEEDER,URBAN,309003,1944,31,FALSE,FALSE,FALSE,,,,,
71,Lalbagh,Manjalpur,66 KV Manjalpur SS,11 KV WATER TANK FEEDER,URBAN,309004,3063,37,FALSE,FALSE,FALSE,,,,,
72,Lalbagh,Manjalpur,66 KV Manjalpur SS,11 KV MANJALPUR SST,SST,309005,2,1,FALSE,FALSE,FALSE,,,,,
73,Lalbagh,Manjalpur,66 KV Manjalpur SS,11KV HARIDHAM FEEDER,URBAN,309006,1530,25,FALSE,FALSE,FALSE,,,,,
74,Lalbagh,Manjalpur,66 KV Manjalpur SS,11 KV GANSHAYAM,URBAN,309007,1621,22,FALSE,FALSE,FALSE,,,,,
75,Lalbagh,Tarsali,JAMBUVA-B,HAVELI ( TARSALI SDN),URBAN,30119,5256,82,FALSE,FALSE,FALSE,,,,,
76,Lalbagh,Tarsali,TARSALI,BARODA DAIRY,HTEX,30701,1,0,FALSE,FALSE,FALSE,,,,,
77,Lalbagh,Tarsali,TARSALI,ONGC-2,HTEX,30702,1,0,FALSE,FALSE,FALSE,,,,,
78,Lalbagh,Tarsali,TARSALI,GOLD CITY,URBAN,30703,3811,73,FALSE,FALSE,FALSE,,,,,
79,Lalbagh,Tarsali,TARSALI,HIGHWAY,URBAN,30706,4430,59,FALSE,FALSE,FALSE,,,,,
80,Lalbagh,Tarsali,TARSALI,PRESSURE TANK,URBAN,30708,3971,26,FALSE,FALSE,FALSE,,,,,
81,Lalbagh,Tarsali,TARSALI,TARSALI GAM,URBAN,30709,2597,41,FALSE,FALSE,FALSE,,,,,
82,Lalbagh,Tarsali,TARSALI,RAMBAUG (GIDC O.H),URBAN,30710,3210,33,FALSE,FALSE,FALSE,,,,,
83,Lalbagh,Tarsali,TARSALI,UMA-2,URBAN,30711,4818,59,FALSE,FALSE,FALSE,,,,,
84,Lalbagh,Tarsali,TARSALI,NOVINO,URBAN,30712,2101,25,FALSE,FALSE,FALSE,,,,,
85,Lalbagh,Tarsali,TARSALI,O N G C-1,HTEX,30713,1,0,FALSE,FALSE,FALSE,,,,,
86,Lalbagh,Tarsali,TARSALI,SUSEN,URBAN,30714,2434,30,FALSE,FALSE,FALSE,,,,,
87,Lalbagh,Tarsali,TARSALI,SAKAR,URBAN,30716,3377,67,FALSE,FALSE,FALSE,,,,,
88,Lalbagh,Tarsali,TARSALI,MANOKAMNA,URBAN,30718,2974,44,FALSE,FALSE,FALSE,,,,,
89,Lalbagh,Tarsali,TARSALI,MANHAR PARK URBAN,URBAN,30719,1605,20,FALSE,FALSE,FALSE,,,,,
90,Lalbagh,Tarsali,TARSALI,11 KAMDHENU,URBAN,30721,2288,41,FALSE,FALSE,FALSE,,,,,
91,Lalbagh,Tarsali,TARSALI,11 KV BANSAL,URBAN,30722,931,14,FALSE,FALSE,FALSE,,,,,
92,Lalbagh,Tarsali,TARSALI,TARSALI SST,SST,30799,4,1,FALSE,FALSE,FALSE,,,,,
